"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"20","1000","8","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1003","8","5","4","1","3840","0","0","0","0","0","0","0","0","0","3024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","936","1580","1019","0","0","1859","0","32","1119","22","7","7","1780","1477","1414","2079","795","2045","802","1323","1459","1207","1621","573","2283","1579","1293","1572","1321","2148","720","2084","760","0","0","0","0","1033","1851","1037","1844"
"20","1020","8","13","4","1","1661","0","0","0","0","0","0","0","0","0","1305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","504","672","322","0","0","946","0","17","306","6","4","6","944","831","429","1009","257","986","274","655","577","693","558","210","1051","846","402","845","415","1028","232","1027","226","0","0","0","0","303","969","305","969"
"20","1027","8","13","4","1","5561","0","0","0","0","0","0","0","0","0","4408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1869","2053","1298","0","0","2968","0","44","1256","12","13","16","3018","2728","1538","3271","992","3191","1046","2164","2013","2179","2019","757","3487","2729","1523","2731","1541","3289","978","3304","932","0","0","0","0","1203","3056","1221","3071"
"20","1031","8","13","4","1","119","0","0","0","0","0","0","0","0","0","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","57","22","0","0","60","0","0","19","1","0","0","65","50","31","62","18","59","22","46","29","43","38","22","59","50","28","52","29","55","27","63","18","0","0","0","0","20","63","19","66"
"20","1082","8","13","14","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1101","27","13","14","1","895","0","0","0","0","0","0","0","0","0","535","0","0","0","0","0","0","0","0","0","0","0","0","327","0","194","0","290","0","0","226","0","7","287","0","1","0","235","186","315","220","284","263","243","230","267","136","364","129","377","251","249","185","325","252","254","276","220","0","0","0","0","277","217","278","230"
"20","1140","27","13","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1160","27","13","14","1","629","0","0","0","0","0","0","0","0","0","390","0","0","0","0","0","0","0","0","0","0","0","0","218","0","161","0","190","0","0","186","0","4","178","7","0","3","194","156","208","201","167","210","158","177","185","107","258","117","254","200","169","151","217","199","168","219","143","0","0","0","0","187","182","187","185"
"20","1180","27","13","14","1","406","0","0","0","0","0","0","0","0","0","233","0","0","0","0","0","0","0","0","0","0","0","0","151","0","75","0","132","0","0","89","0","4","129","1","0","1","97","73","149","91","132","97","126","90","133","47","174","61","162","94","122","73","151","92","133","131","90","0","0","0","0","127","94","134","90"
